Timestamp,Age,HeartRate,RespiratoryRate,AttentionLevel,BloodSaturation,FatigueLevel,DriverState
2024-11-04 15:41:04,40,97.27196910600978,16.22847856833927,2.0,90.25985878051851,Fatigued,Distracted
2024-11-04 15:41:07,40,117.7806865613323,16.669200836676463,3.0,92.50307924298761,Very Fatigued,Distracted
2024-11-04 15:41:10,40,95.9676598463355,17.432546233676426,4.0,97.92813764608552,Not Fatigued,Distracted
2024-11-04 15:41:13,40,233.03903880395137,16.25364101961333,3.0,93.41789825034418,Fatigued,Asleep
2024-11-04 15:41:16,40,142.2897743102614,17.000569454035098,1.0,94.83872457208135,Moderately Fatigued,Responsive
2024-11-04 15:41:19,40,92.84169891802398,17.12731216758453,4.0,91.52006455567614,Fatigued,Responsive
2024-11-04 15:41:22,40,119.72736972338585,17.58969129496189,2.0,94.8739706760672,Very Fatigued,Distracted
2024-11-04 15:41:25,40,129.85822411182798,17.172783074302,1.0,92.21139973097357,Moderately Fatigued,Asleep
2024-11-04 15:41:28,40,91.9891858694376,16.088654311148264,4.0,91.07718041447549,Very Fatigued,Distracted
2024-11-04 15:41:31,40,187.66785620080293,17.07666415432436,2.0,93.44537369747445,Moderately Fatigued,Responsive
2024-11-04 15:41:34,40,128.0966508088835,17.755819654322583,2.0,81.65385836190922,Not Fatigued,Distracted
2024-11-04 15:41:37,40,107.7532010921797,16.39726991370055,3.0,90.52748227598623,Not Fatigued,Asleep
2024-11-04 15:41:40,40,86.7623167939536,14.975384556293381,4.0,94.0372759607443,Very Fatigued,Asleep
2024-11-04 15:41:43,40,113.06356864269686,18.44273087425068,3.0,91.21206748577815,Fatigued,Asleep
2024-11-04 15:41:46,40,226.45387561072545,13.93905471187552,3.0,90.53960778557469,Severely Fatigued,Responsive
2024-11-04 15:41:49,40,84.73564925673325,18.007360948169,3.0,91.14077318761521,Very Fatigued,Asleep
2024-11-04 15:41:52,40,126.06527585859745,16.4716360005901,3.0,92.27454119486562,Fatigued,Distracted
2024-11-04 15:41:55,40,71.55595172960541,16.963086672599978,2.0,90.54087074739053,Fatigued,Distracted
2024-11-04 15:41:58,40,91.20672798805634,16.20078362455134,4.0,93.92602622719005,Moderately Fatigued,Distracted
2024-11-04 15:42:01,40,75.96183411916523,16.12632385873069,3.0,91.57631559557707,Moderately Fatigued,Asleep
2024-11-04 15:42:04,40,122.96108979782962,16.608287507992213,1.0,95.78871867402675,Fatigued,Distracted
2024-11-04 15:42:07,40,178.5433730622292,15.303188155261822,3.0,94.56446241559637,Moderately Fatigued,Asleep
2024-11-04 15:42:10,40,110.75421228475632,15.560389121032536,2.0,82.0187532915979,Moderately Fatigued,Distracted
2024-11-04 15:42:13,40,136.0894283203978,14.36686885570101,3.0,86.09104584793931,Not Fatigued,Distracted
